epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.055,1.42065,2.16211,1.42128,0.7734,0.19461,0.45097,0.25252,1.42372,2.47042,1.50845,0.000364455,0.000364455,0.000364455
2,439.368,1.37677,1.30478,1.35484,0.77795,0.50401,0.57858,0.32076,1.46989,1.46567,1.53102,0.00072024,0.00072024,0.00072024
3,471.761,1.37475,1.25239,1.34858,0.72784,0.59655,0.62705,0.33679,1.50761,1.25648,1.60573,0.00106136,0.00106136,0.00106136
4,502.867,1.36559,1.19367,1.34114,0.82155,0.57869,0.70805,0.35324,1.45883,1.16686,1.5157,0.00104501,0.00104501,0.00104501
5,533.073,1.34973,1.13428,1.32969,0.83345,0.61202,0.7187,0.3578,1.53733,1.09911,1.58192,0.00102301,0.00102301,0.00102301
6,565.798,1.35199,1.09529,1.32439,0.83133,0.76521,0.84007,0.43866,1.47452,0.9927,1.52396,0.00100101,0.00100101,0.00100101
7,598.13,1.32102,1.06179,1.31161,0.6708,0.7387,0.75697,0.38722,1.48311,0.9988,1.55759,0.000979013,0.000979013,0.000979013
8,628.074,1.30224,1.04919,1.2999,0.85416,0.66176,0.77614,0.41666,1.41706,0.97693,1.48864,0.000957015,0.000957015,0.000957015
9,659.534,1.28719,0.99674,1.28207,0.79442,0.62809,0.68867,0.38497,1.4199,0.98874,1.47328,0.000935018,0.000935018,0.000935018
10,691.895,1.29155,0.96384,1.29306,0.85616,0.72639,0.8168,0.43632,1.41663,0.91273,1.4783,0.00091302,0.00091302,0.00091302
11,723.842,1.28434,0.95839,1.26843,0.82755,0.73698,0.83309,0.44179,1.4062,0.90874,1.47433,0.000891022,0.000891022,0.000891022
12,753.567,1.28216,0.936,1.27577,0.77112,0.8022,0.82929,0.44063,1.42139,0.85723,1.49457,0.000869024,0.000869024,0.000869024
13,785.935,1.26781,0.91741,1.27533,0.80629,0.73097,0.84071,0.46038,1.39214,0.86318,1.46185,0.000847026,0.000847026,0.000847026
14,818.707,1.25712,0.89628,1.25954,0.64477,0.77295,0.7762,0.43891,1.41479,0.84521,1.46799,0.000825029,0.000825029,0.000825029
15,849.79,1.25386,0.87324,1.25864,0.7603,0.78551,0.84192,0.45673,1.40951,0.84426,1.45884,0.000803031,0.000803031,0.000803031
16,879.635,1.25433,0.86417,1.24802,0.75893,0.77899,0.81501,0.45443,1.38411,0.83601,1.44298,0.000781033,0.000781033,0.000781033
17,912.252,1.23888,0.85767,1.25049,0.7327,0.76475,0.80016,0.45152,1.42385,0.82378,1.48502,0.000759035,0.000759035,0.000759035
18,944.538,1.23223,0.83351,1.24215,0.76411,0.80123,0.81819,0.44966,1.4008,0.79289,1.45313,0.000737037,0.000737037,0.000737037
19,975.046,1.23294,0.8458,1.24253,0.80315,0.75834,0.82953,0.46503,1.39855,0.82312,1.49182,0.00071504,0.00071504,0.00071504
20,1005.9,1.21218,0.80387,1.23445,0.82385,0.8156,0.86884,0.48422,1.38587,0.78078,1.44966,0.000693042,0.000693042,0.000693042
21,1038.27,1.20987,0.7983,1.22419,0.85919,0.76385,0.84941,0.47725,1.41327,0.79344,1.4905,0.000671044,0.000671044,0.000671044
22,1070.78,1.22264,0.79803,1.23711,0.84562,0.80616,0.86123,0.47843,1.37216,0.77121,1.43232,0.000649046,0.000649046,0.000649046
23,1100.47,1.19424,0.78721,1.2115,0.77907,0.80159,0.84921,0.477,1.36811,0.77738,1.44517,0.000627048,0.000627048,0.000627048
24,1132.25,1.18616,0.76543,1.21638,0.82713,0.81658,0.85777,0.47043,1.39391,0.77274,1.45897,0.000605051,0.000605051,0.000605051
25,1163.69,1.19908,0.77437,1.21812,0.8963,0.7458,0.86974,0.4563,1.40661,0.77615,1.47114,0.000583053,0.000583053,0.000583053
26,1195.54,1.16451,0.75026,1.20098,0.8276,0.79184,0.8602,0.46638,1.40552,0.75258,1.45383,0.000561055,0.000561055,0.000561055
27,1225.21,1.1675,0.74342,1.20156,0.8251,0.77819,0.82881,0.44929,1.42877,0.76793,1.48634,0.000539057,0.000539057,0.000539057
28,1257.05,1.15845,0.73858,1.19701,0.79433,0.80115,0.83149,0.48523,1.34573,0.71399,1.42578,0.000517059,0.000517059,0.000517059
29,1289.5,1.13885,0.71638,1.18508,0.84863,0.80472,0.87547,0.48715,1.40269,0.73192,1.45367,0.000495062,0.000495062,0.000495062
30,1321.83,1.14547,0.71792,1.18558,0.7791,0.85178,0.85021,0.47762,1.43179,0.72624,1.50387,0.000473064,0.000473064,0.000473064
31,1352.22,1.14648,0.70922,1.18508,0.88759,0.75687,0.85053,0.4841,1.37779,0.74202,1.44957,0.000451066,0.000451066,0.000451066
32,1384.8,1.14183,0.70328,1.18831,0.84698,0.8109,0.87495,0.48242,1.39007,0.72844,1.46434,0.000429068,0.000429068,0.000429068
33,1417.07,1.1207,0.6833,1.17362,0.83612,0.79572,0.85285,0.4935,1.36704,0.72783,1.43526,0.00040707,0.00040707,0.00040707
34,1449.37,1.10889,0.6832,1.17505,0.84265,0.79742,0.84985,0.48907,1.35236,0.71034,1.4345,0.000385073,0.000385073,0.000385073
35,1480.93,1.10502,0.6822,1.17145,0.84304,0.82797,0.86949,0.49612,1.35726,0.71355,1.432,0.000363075,0.000363075,0.000363075
36,1512.99,1.0959,0.67318,1.15852,0.83315,0.79857,0.83515,0.46807,1.38536,0.73166,1.45744,0.000341077,0.000341077,0.000341077
37,1545.22,1.08419,0.65797,1.15811,0.897,0.77433,0.86718,0.48859,1.38501,0.69444,1.45506,0.000319079,0.000319079,0.000319079
38,1577.48,1.08766,0.65506,1.14974,0.82649,0.81456,0.85635,0.48287,1.38284,0.70322,1.45952,0.000297081,0.000297081,0.000297081
39,1610.67,1.08777,0.65112,1.15104,0.90121,0.78323,0.864,0.49123,1.37278,0.69669,1.45361,0.000275084,0.000275084,0.000275084
40,1643.77,1.07221,0.63899,1.1519,0.88828,0.786,0.8617,0.48309,1.36913,0.68204,1.45054,0.000253086,0.000253086,0.000253086
41,1679.11,1.05373,0.59585,1.14273,0.84088,0.82047,0.86814,0.48418,1.36336,0.68139,1.43634,0.000231088,0.000231088,0.000231088
42,1710.9,1.03659,0.57418,1.13344,0.82679,0.8132,0.85885,0.47665,1.40774,0.69276,1.48394,0.00020909,0.00020909,0.00020909
43,1743.41,1.01542,0.55729,1.11123,0.80959,0.84888,0.87067,0.4885,1.38868,0.6877,1.4619,0.000187092,0.000187092,0.000187092
44,1774.64,1.01392,0.55568,1.12052,0.83935,0.82893,0.87272,0.48889,1.39324,0.70572,1.46374,0.000165095,0.000165095,0.000165095
45,1805.6,0.99711,0.54208,1.10461,0.89963,0.77881,0.86372,0.48979,1.39136,0.68611,1.47229,0.000143097,0.000143097,0.000143097
46,1837.94,0.99227,0.53378,1.10492,0.81873,0.84306,0.87521,0.49441,1.3804,0.68358,1.47309,0.000121099,0.000121099,0.000121099
47,1870.32,0.97556,0.52231,1.09991,0.89572,0.79396,0.86339,0.49026,1.37191,0.6707,1.46533,9.91012e-05,9.91012e-05,9.91012e-05
48,1899.37,0.97501,0.52631,1.09889,0.90576,0.78637,0.86541,0.48057,1.38618,0.66725,1.47674,7.71034e-05,7.71034e-05,7.71034e-05
49,1931.33,0.9607,0.51838,1.09141,0.89763,0.79593,0.86826,0.49444,1.37855,0.66849,1.47758,5.51056e-05,5.51056e-05,5.51056e-05
50,1963.33,0.94953,0.50649,1.08858,0.81599,0.85943,0.87114,0.49315,1.37664,0.66864,1.47402,3.31078e-05,3.31078e-05,3.31078e-05
